year,city,population
2023,Newcastle,823000
2023,Sheffield,746000
2022,Newcastle,818000
2022,Sheffield,741000
2021,Newcastle,814000
2021,Sheffield,735000
2020,Newcastle,809000
2020,Sheffield,730000
